expression,meaning,sentence_translation
死ぬ,sterben,"Der Fisch ist gestorben."
痛い,schmerzhaft,"Mein Kopf tut weh."
酒,Alkohol / Sake,"Haben Sie schon mal japanischen Sake getrunken?"
つける,anmachen / befestigen,"Bitte machen Sie die Klimaanlage an."
一杯,eine Tasse / ein Glas,"Lassen Sie uns heute ein Glas trinken."
飛ぶ,fliegen,"Ein Vogel fliegt am Himmel."
飛行機,Flugzeug,"Ich reise mit dem Flugzeug."
続く,fortsetzen / weitergehen,"Die Geschichte in diesem Buch geht weiter."
日記,Tagebuch,"Ich schreibe jeden Abend Tagebuch."
首,Hals,"Mein Hals tut weh."
頭,Kopf,"Er ist intelligent."
顔,Gesicht,"Sie hat ein schönes Gesicht."
感じる,fühlen,"Ich fühle die Kälte."
探す,suchen,"Ich suche ein neues Haus."
お手洗い,Toilette,"Wo ist die Toilette?"
冷たい,kalt,"Bitte geben Sie mir ein kaltes Getränk."
汚い,schmutzig,"Das Zimmer ist schmutzig."
太い,dick,"Dieser Stift ist dick."
曇る,bewölkt,"Der Himmel ist bewölkt."
神,Gott,"Ich habe im Schrein zu Gott gebetet."
まずい,schlecht (im Geschmack),"Dieses Essen schmeckt schlecht."
建てる,bauen,"Ich habe ein neues Haus gebaut."
置く,legen / stellen,"Ich habe das Buch auf den Tisch gelegt."
辺,Gegend,"Gibt es hier in der Gegend ein Geschäft?"
黄色い,gelb,"Gelbe Blumen blühen."
一緒に,zusammen,"Lass uns zusammen lernen."
緑,grün,"Grünes Gras wächst."
易しい,leicht,"Dieses Problem ist einfach."
留学生,Austauschstudent,"Er ist ein Austauschstudent."
戻る,zurückkehren,"Ich bin nach Hause zurückgekehrt."
そば,neben / nahe,"Ich wohne in der Nähe des Bahnhofs."
起きる,aufstehen,"Ich bin früh am Morgen aufgestanden."
起こる,passieren,"Ein großes Erdbeben ist passiert."
起こす,wecken,"Ich habe meinen Bruder geweckt."
寝る,schlafen,"Ich gehe früh ins Bett."
細い,dünn,"Dieser Bleistift ist dünn."
載せる,aufladen / veröffentlichen,"Ich habe das Gepäck ins Auto geladen."
締める,schließen,"Bitte schließen Sie die Tür."
甘い,süß,"Dieser Kuchen ist süß."
こっち,hierher,"Bitte kommen Sie hierher."
辛い,scharf,"Dieses Essen ist scharf."
優しい,freundlich / sanft,"Sie ist eine freundliche Person."
夫,Ehemann,"Mein Mann ist Angestellter."
妻,Ehefrau,"Meine Frau ist Lehrerin."
誰,wer,"Wer ist diese Person?"
愛する,lieben,"Ich liebe meine Familie."
笑う,lachen,"Das Kind lacht."
酸っぱい,sauer,"Diese Zitrone ist sauer."
言葉,Wort / Sprache,"Ich lerne neue Wörter."
よう,Art und Weise / wie,"Bitte sprechen Sie so."
呼ぶ,rufen,"Ich rufe meinen Freund."
胸,Brust,"Meine Brust tut weh."
腰,Taille / unterer Rücken,"Mein Rücken tut weh."
背,Rücken / Größe,"Er ist groß."
片仮名,Katakana,"Ich lerne Katakana."
平仮名,Hiragana,"Ich übe das Schreiben von Hiragana."
悲しい,traurig,"Ich habe eine traurige Geschichte gehört."
美しい,schön,"Ich habe eine schöne Landschaft gesehen."
授業,Unterricht,"Heute gibt es Unterricht."
手伝う,helfen,"Ich habe ihm geholfen."
狭い,eng / schmal,"Dieses Zimmer ist eng."
触る,berühren,"Bitte berühren Sie diesen Knopf nicht."
嫌い,nicht mögen,"Ich mag keinen Fisch."
浴びる,sich duschen / übergießen,"Ich nehme eine Dusche."
渇く,durstig sein,"Ich habe Durst."
髪の毛,Haar,"Ich habe meine Haare geschnitten."
肩,Schulter,"Meine Schulter tut weh."
鼻,Nase,"Er hat eine hohe Nase."
腕,Arm,"Ich habe meinen Arm gebrochen."
掛ける,aufhängen / anrufen,"Ich rufe jemanden an."
僕,ich (männlich),"Ich bin ein Student."
駄目,schlecht / nicht erlaubt,"Das geht nicht."
大丈夫,in Ordnung,"Mir geht es gut."
風邪,Erkältung,"Ich habe mich erkältet."
奇麗,schön / sauber,"Schöne Blumen blühen."
嬉しい,glücklich,"Ich bin glücklich, ein Geschenk bekommen zu haben."
柿,Kaki,"Am Kakibaum hängen viele Früchte."
ため,Zweck / wegen,"Ich arbeite hart für das Lernen."
より,als / im Vergleich zu,"Er ist größer als ich."
七,sieben,"Es gibt sieben Äpfel."
九,neun,"Lass uns uns um neun Uhr treffen."
億,Hundert Millionen,"Die Bevölkerung Japans beträgt etwa 120 Millionen."
寺,Tempel,"Es gibt viele Tempel in Kyoto."
ドル,Dollar,"Der Dollar ist die Währung der Vereinigten Staaten."
日,Tag,"Heute ist ein guter Tag."
火,Feuer,"Ich koche mit Feuer."
金,Gold,"Ich habe einen goldenen Ring gekauft."
システム,System,"Dieses System ist sehr praktisch."
分,Minute,"Bitte warten Sie fünf Minuten."
分ける,teilen,"Wir haben den Kuchen geteilt und gegessen."
分かれる,sich teilen,"Der Weg teilt sich in zwei."
コンピューター,Computer,"Ich habe einen neuen Computer gekauft."
何,was,"Was machst du?"
先ず,zuerst,"Zuerst sollten wir unsere Hände waschen."
先月,letzter Monat,"Letzten Monat bin ich verreist."
やる,machen,"Er macht jeden Tag seine Hausaufgaben."
先週,letzte Woche,"Letzte Woche war ich sehr beschäftigt."
今まで,bis jetzt,"Vielen Dank bis jetzt."
来月,nächster Monat,"Nächsten Monat beginnt ein neues Projekt."
来週,nächste Woche,"Lass uns nächste Woche treffen."
ロボット,Roboter,"Der Roboter arbeitet gerade."
行う,durchführen,"Nächste Woche führen wir eine Besprechung durch."
行き,Richtung (Zug),"Ich nehme den Zug in Richtung Osaka."
行き,Weg (gehen),"Bitte sagen Sie mir den Weg zum Park."
帰り,Rückkehr,"Auf dem Rückweg habe ich einen Umweg gemacht."
ほとんど,fast,"Fast alle haben zugestimmt."
大きさ,Größe,"Ich messe die Größe des Hauses."
大分,ziemlich,"Es ist ziemlich kalt geworden."
少年,Junge,"Die Jungen spielen Baseball."
パソコン,Laptop,"Ich möchte einen neuen Laptop."
少しも,überhaupt nicht,"Ich bin überhaupt nicht müde."
少々,ein wenig,"Bitte warten Sie einen Moment."
多く,viele,"Viele Menschen nahmen an der Veranstaltung teil."
上がる,steigen,"Ich bin mit dem Aufzug hochgefahren."
もう,schon,"Ich habe die Hausaufgaben schon erledigt."
年上,älter,"Er ist älter als ich."
上り電車,aufsteigender Zug,"Ich nehme den Zug in Richtung Tokio."
下げる,senken,"Bitte senken Sie den Preis."
プログラム,Programm,"Ich habe ein neues Programm erstellt."
下がる,sinken,"Die Temperatur ist gesunken."
下りる,aussteigen,"Ich bin am Bahnhof aus dem Zug ausgestiegen."
下ろす,herunternehmen,"Bitte nehmen Sie das Gepäck herunter."
下り,Abstieg,"Es ist schwer, den Berg hinunterzusteigen."
よく,oft,"Er lacht oft."
年下,jünger,"Er ist jünger als ich."
下る,hinausgehen,"Wir sind den Fluss hinunter gereist."
一方,einerseits,"Einerseits ist es praktisch, andererseits schwierig."
方,Person,"Wer ist diese Person?"
まま,so lassen,"Es ist in Ordnung, es so zu lassen."
二人,zwei Personen,"Wir gingen zu zweit ins Kino."
大人しい,ruhig,"Sie ist sehr ruhig."
人々,Menschen,"Die Menschen spielen im Park."
今日は一人で映画を見ます,Heute schaue ich allein einen Film.,"Heute schaue ich allein einen Film."
テレビ,Fernsehen,"Ich schaue jeden Tag die Nachrichten im Fernsehen."
外人,Ausländer,"Ich habe ausländische Freunde."
外,draußen,"Kinder spielen draußen."
休日,Feiertag,"Am Feiertag gehe ich ins Kino."
休み,Ferien,"Ich reise in den Sommerferien."
ソフト,Software,"Ich habe neue Software heruntergeladen."
力,Kraft,"Er ist sehr stark."
協力,Zusammenarbeit,"Wir haben alle zusammengearbeitet."
人口,Bevölkerung,"Die Bevölkerung dieser Stadt wächst."
出口,Ausgang,"Der Ausgang ist dort."
ただ,gratis,"Ich habe einen Kaffee gratis bekommen."
入り口,Eingang,"Der Eingang ist hier."
右手,rechte Hand,"Ich halte einen Stift in der rechten Hand."
左手,linke Hand,"Ich schreibe mit der linken Hand."
下手,schlecht,"Er singt schlecht."
これら,diese,"Ich habe diese Bücher gelesen."
足りる,ausreichen,"Das Geld reicht aus."
足す,hinzufügen,"Bitte füge Zucker hinzu."
山,Berg,"Ich liebe es, Berge zu besteigen."
川,Fluss,"Ich habe im Fluss gefischt."
空く,leer werden,"Der Sitz ist frei."
空手,Karate,"Er lernt Karate."
空,Himmel,"Der Himmel ist blau."
海外,Übersee,"Ich möchte ins Ausland reisen."
海,Meer,"Ich liebe es, im Meer zu schwimmen."
毎日,jeden Tag,"Ich jogge jeden Tag."
毎年,jedes Jahr / jährlich,"Ich reise jeden Sommer. Es gibt jedes Jahr eine Veranstaltung."
尚,außerdem,"Außerdem informieren Sie uns bitte bei Fragen."
毎週,jede Woche,"Ich lese jede Woche ein neues Buch."
毎月,jeden Monat,"Ich gehe jeden Monat ins Kino."
石,Stein,"Im Garten liegt ein großer Stein."
田んぼ,Reisfeld,"Ich arbeite auf dem Reisfeld."
ほぼ,fast,"Die Arbeit ist fast abgeschlossen."
花,Blume,"Die Blumen blühen."
林,Waldstück,"Ich habe im Wald gespielt."
森,Wald,"Wir haben im Wald gezeltet."
子,Kind,"Die Kinder spielen fröhlich."
サービス,Service,"Der Service in diesem Laden ist gut."
女の子,Mädchen,"Das Mädchen singt."
男の子,Junge,"Der Junge spielt Fußball."
私たち,wir,"Wir lernen zusammen."
達する,erreichen,"Ich habe mein Ziel erreicht."
グループ,Gruppe,"Ich habe mich einer neuen Gruppe angeschlossen."
家,Haus,"Ich habe ein Haus gebaut."
家内,Frau (Ehefrau),"Ich reise mit meiner Frau."
客,Gast,"Viele Gäste kamen in den Laden."
空気,Luft,"Die Luft ist sauber."
ホテル,Hotel,"Ich habe im Hotel übernachtet."
人気,Beliebtheit,"Er ist ein beliebter Sänger."
雪,Schnee,"Es schneit."
まとめる,zusammenfassen / ordnen,"Bitte fassen Sie die Materialien zusammen."
青い,blau,"Der blaue Himmel breitet sich aus."
青,blau,"Ich mag Blau."
晴れ,sonnig / klarer Himmel,"Heute ist es sonnig."
明らか,klar / offensichtlich,"Das ist ein klarer Fehler."
やはり,wie erwartet / dennoch / natürlich,"Wie erwartet, hat er recht."
明日,Morgen,"Morgen bin ich beschäftigt."
昨年,letztes Jahr,"Letztes Jahr passierte viel."
はっきり,deutlich / klar,"Bitte sagen Sie die Antwort deutlich."
一昨年,vorgestern,"Vorletztes Jahr bin ich nach Japan gereist."
一昨日,vorgestern,"Vorgestern habe ich einen Freund getroffen."
東,Osten,"Der östliche Himmel ist hell."
西,Westen,"Die westlichen Berge sind schön."
つまり,in anderen Worten / das heißt,"Was er sagen will, ist also dies."
南,Süden,"Ein südlicher Wind weht."
北,Norden,"Im Norden gibt es Berge."
方向,Richtung,"Ich habe die Richtung verwechselt."
向かう,gehen / sich wenden nach,"Ich gehe in Richtung Bahnhof."
ビル,Gebäude,"Ein neues Gebäude ist im Bau."
向こう,dort drüben,"Dort drüben ist ein Park."
向く,sich wenden / schauen,"Bitte schauen Sie nach rechts."
開く,öffnen,"Die Tür öffnet sich."
聞こえる,hörbar sein,"Man kann Musik hören."
もちろん,natürlich / selbstverständlich,"Natürlich nehme ich teil."
年間,Jahr / jährlich,"Die jährlichen Verkäufe sind gestiegen."
この間,neulich / kürzlich,"Erinnern Sie sich an das kürzlich besprochene Thema?"
間,Zwischenraum / Zeitspanne,"Was ist in dieser Zeit passiert?"
人間,Mensch / Menschheit,"Menschen sind soziale Wesen."
かつて,einst / früher,"Ich habe früher hier gelebt."
高さ,Höhe,"Die Höhe dieses Turms beträgt 100 Meter."
最大,größter / maximal,"Das ist das größte Problem."
初めて,zum ersten Mal,"Ich bin zum ersten Mal nach Japan gereist."
最初,anfangs / zuerst,"Öffnen Sie bitte die erste Seite."
スポーツ,Sport,"Ich mag Sport."
初め,Anfang / Beginn,"Der Beginn einer neuen Arbeit ist wichtig."
今後,von jetzt an / in Zukunft,"Bitte teilen Sie mir Ihre Pläne für die Zukunft mit."
後,danach / später,"Nach dem Essen mache ich einen Spaziergang."
最後,zuletzt / das Ende,"Lasst uns bis zum Ende kämpfen."
なぜ,warum / weshalb,"Warum haben Sie sich verspätet?"
明後日,übermorgen,"Übermorgen ist ein Feiertag."
牛,Kuh / Rind,"Die Kühe sind auf der Weide."
半分,Hälfte,"Ich habe den Kuchen in zwei Hälften geteilt."
半年,ein halbes Jahr,"Ich habe ein halbes Jahr in Japan verbracht."
そのまま,wie es ist / genauso,"Bitte warten Sie so, wie Sie sind."
半月,halber Monat,"Ich werde dieses Projekt in einem halben Monat abschließen."
半日,halber Tag,"Ich arbeite nur einen halben Tag."
毎朝,jeden Morgen,"Ich jogge jeden Morgen."
今朝,heute Morgen,"Heute Morgen bin ich früh aufgestanden."
もし,wenn / falls,"Falls es regnet, wird es abgesagt."
昼休み,Mittagspause,"Ich esse mein Bento in der Mittagspause."
昼前,vor Mittag,"Ich komme vor Mittag zurück."
昼間,am Tag / tagsüber,"Tagsüber ist es sehr heiß."
毎晩,jeden Abend,"Ich schaue jeden Abend Fernsehen."
つもり,Absicht / Plan,"Ich habe vor, nächstes Jahr im Ausland zu studieren."
今夜,heute Abend,"Heute Abend ist Vollmond."
昨夜,gestern Abend / letzte Nacht,"Gestern Abend habe ich einen Film gesehen."
夜中,Mitternacht / mitten in der Nacht,"Ich bin mitten in der Nacht aufgewacht."
夕方,Abend / früher Abend,"Am Abend wurde es kühler."
やっと,schließlich / endlich,"Ich habe meine Hausaufgaben endlich fertiggestellt."
昼食,Mittagessen,"Mein Mittagessen besteht aus einem Sandwich."
朝食,Frühstück,"Zum Frühstück habe ich Toast gegessen."
夕食,Abendessen,"Zum Abendessen gab es Curry."
夕飯,Abendessen,"Es ist Zeit fürs Abendessen."
ニュース,Nachrichten,"Haben Sie die Nachrichten gesehen?"
見方,Art zu sehen / Perspektive,"Ich verstehe nicht, wie man dieses Diagramm liest."
花見,Kirschblütenschau,"Im Frühling gehe ich zur Kirschblütenschau."
言い方,Ausdrucksweise / Formulierung,"Diese Ausdrucksweise ist unhöflich."
話,Geschichte / Erzählung,"Ich habe eine interessante Geschichte gehört."
ずっと,die ganze Zeit / ständig,"Ich habe die ganze Zeit gewartet."
読み,Lesung,"Bitte zeigen Sie mir die Lesung dieses Kanji."
読み方,Art zu lesen,"Lassen Sie uns die richtige Lesung lernen."
語る,erzählen / sprechen,"Er hat von seinen Träumen erzählt."
言語,Sprache,"Ich habe Sprachwissenschaft studiert."
ビデオ,Video,"Bitte spielen Sie das Video ab."
英語,Englisch,"Können Sie Englisch sprechen?"
文字,Zeichen / Buchstabe,"Was bedeutet dieses Zeichen?"
ローマ字,Romanisierung,"Ich schreibe Japanisch in Romaji."
字,Schriftzeichen,"Die Schrift ist zu klein."
マンション,Wohnung / Apartment,"Ich bin in ein neues Apartment gezogen."
書き方,Art zu schreiben,"Bitte zeigen Sie mir, wie man einen Brief schreibt."
覚める,aufwachen,"Ich bin aus einem Traum aufgewacht."
覚ます,aufwecken / wach werden,"Er hat sich selbst aufgeweckt."
大会,Wettbewerb / Turnier,"Ich habe am städtischen Turnier teilgenommen."
しばらく,eine Weile / kurz,"Bitte warten Sie einen Moment."
会話,Gespräch / Konversation,"Lass uns auf Japanisch sprechen."
話し合う,besprechen / diskutieren,"Wir haben das Problem besprochen."
合う,passen / übereinstimmen,"Ich stimme mit seiner Meinung überein."
間に合う,rechtzeitig sein,"Ich habe den Zug rechtzeitig erreicht."
ガス,Gas,"Bitte schalten Sie das Gas ab."
会社,Firma / Unternehmen,"Ich gehe ins Büro."
社会,Gesellschaft,"Ich lerne die Struktur der Gesellschaft."
社員,Angestellter / Mitarbeiter,"Die Anzahl der Mitarbeiter wächst."
仕方,Weg / Methode,"Es gibt keinen anderen Weg."
食事,Mahlzeit,"Ich habe eine Mahlzeit eingenommen."
火事,Feuer / Brand,"Ein Brand ist ausgebrochen."
大事,wichtig / bedeutend,"Gesundheit ist wichtig."
事故,Unfall,"Ich war in einen Unfall verwickelt."
サラリーマン,Angestellter,"Er ist ein Angestellter."
工事,Baustelle / Bauarbeiten,"Es gibt Straßenbauarbeiten."
工場,Fabrik,"Diese Fabrik ist groß."
電話,Telefon,Ich rufe jemanden an.
電気,Elektrizität / Licht,Bitte schalte das Licht an.
バス,Bus,Ich fahre mit dem Bus zur Schule.
車,Auto,Ich fahre ein Auto.
駅員,Bahnhofangestellter / Zugbegleiter,Ich habe den Bahnhofangestellten nach dem Weg gefragt.
通り,Straße / Durchgang,Ich überquere eine große Straße.
通る,passieren / durchgehen,Ich gehe durch die Straße.
クラス,Klasse,Ich unterhalte mich mit Klassenkameraden.
通う,pendeln / regelmäßig besuchen,Ich pendle jeden Tag zur Schule.
交通事故,Verkehrsunfall,Es gab einen Verkehrsunfall.
水道,Wasserleitung / Wasserwerk,Ich trinke Leitungswasser.
車道,Fahrbahn,Ich überquere die Fahrbahn.
トラック,Lkw / Lastwagen,Ein Lastwagen ist angehalten.
道路,Straße / Weg,Die Straße ist verstopft.
土地,Land / Grundstück,Ich habe ein Grundstück gekauft.
地図,Karte / Stadtplan,Bitte schauen Sie auf die Karte.
他,andere / sonstige,Gibt es noch andere Fragen?
パーティー,Party,Ich gehe zu einer Party von Freunden.
止める,anhalten / stoppen,Bitte halten Sie das Auto an.
止まる,anhalten / stehen bleiben,Der Zug hat angehalten.
止む,"aufhören (Regen, Schnee)",Der Regen hat aufgehört.
歩道,Gehweg,Ich gehe auf dem Gehweg.
うまい,lecker / geschickt,Dieses Essen ist lecker.
渡す,übergeben / überreichen,Ich habe meinem Freund ein Buch übergeben.
渡る,überqueren,Ich überquere eine Brücke.
年度,Fiskaljahr / Schuljahr,Ich präsentiere den Plan für dieses Jahr.
今度,beim nächsten Mal,Beim nächsten Mal lass uns zusammen essen.
ガラス,Glas,Die Fensterscheibe ist zerbrochen.
何度,wieviele Male,Ich habe mehrmals gefragt.
最近,in letzter Zeit / kürzlich,In letzter Zeit bin ich beschäftigt.
遠く,Ferne / weit entfernt,In der Ferne sieht man Berge.
社長,Geschäftsführer / Präsident,Ich habe den Geschäftsführer begrüßt.
コース,Kurs / Strecke,Ich habe diesen Kurs gewählt.
会長,Vorsitzender,Der Vorsitzende hat eine Rede gehalten.
長さ,Länge,Die Länge dieses Flusses beträgt 100 Kilometer.
長男,ältester Sohn,Mein ältester Sohn geht zur Universität.
長女,älteste Tochter,Meine älteste Tochter ist Krankenschwester.
アパート,Wohnung / Apartment,Ich bin in eine neue Wohnung gezogen.
広がる,sich ausbreiten / erweitern,Der Himmel breitet sich aus.
広さ,Weite / Größe,Wie groß ist dieses Zimmer?
全体,Gesamtheit / alles,Ich höre die Meinung der Gesamtheit.
全く,vollständig / überhaupt nicht,Ich verstehe es überhaupt nicht.
レコード,Schallplatte / Rekord,Ich habe eine alte Schallplatte gehört.
安全,Sicherheit,Ich achte auf sicheres Fahren.
一部,ein Teil / Abschnitt,Ich habe einen Teil des Plans geändert.
部分,Teil / Abschnitt,Ich habe einen Teil des Problems gelöst.
国内,Inland,Ich plane eine Reise innerhalb des Landes.
どんどん,zügig / schnell,Lass uns zügig vorangehen.
全国,gesamtes Land,Ich nehme an der nationalen Meisterschaft teil.
外国,Ausland,Ich möchte ins Ausland reisen.
国会,Parlament / Nationalversammlung,Das Parlament wurde einberufen.
帰国,Rückkehr ins Heimatland,Ich bin ins Heimatland zurückgekehrt und habe meine Familie getroffen.
カメラ,Kamera,Ich habe eine neue Kamera gekauft.
外国人,Ausländer,Ich habe mit einem Ausländer gesprochen.
外国語,Fremdsprache,Ich lerne Fremdsprachen.
世界,Welt,Die Welt ist groß.
白,weiß,Es schneit weißer Schnee.
テープ,Band / Kassette,Ich habe ein altes Band gefunden.
黒,schwarz,Ich habe eine schwarze Katze gesehen.
赤ちゃん,Baby,Das Baby weint.
赤,rot,Die roten Blumen blühen.
ビール,Bier,Ich trinke ein kaltes Bier.
銀行,Bank,Ich habe bei der Bank Geld abgehoben.
銀,Silber,Ich habe einen silbernen Ring gekauft.
地下鉄,U-Bahn,Ich bin mit der U-Bahn gefahren.
牛肉,Rindfleisch,Ich koche Rindfleisch.
ページ,Seite,Bitte lesen Sie die dritte Seite dieses Buches.
肉,Fleisch,Ich habe das Fleisch gegrillt.
分野,Fachgebiet / Bereich,Er ist Experte auf diesem Gebiet.
野菜,Gemüse,Lass uns viel Gemüse essen.
グラフ,Grafik / Diagramm,Bitte zeigen Sie mir die Verkaufsdiagramme.
本屋,Buchladen,Ich habe im Buchladen ein Buch gekauft.
八百屋,Obsthändler / Gemüsehändler,Ich habe Obst beim Gemüsehändler gekauft.
そば屋,Sobarestaurant,Ich habe im Sobarestaurant zu Mittag gegessen.
たばこ屋,Tabakladen,Ich habe im Tabakladen Zigaretten gekauft.
ポスト,Briefkasten,Ich habe den Brief in den Briefkasten geworfen.
茶,Tee,Ich habe japanischen Tee getrunken.
お茶,Tee (höflich),Lass uns zusammen Tee trinken.
茶わん,Reisschale / Teeschale,Ich habe die Teeschale gewaschen.
味,Geschmack / Aroma,Diese Suppe hat einen guten Geschmack.
テスト,Test / Prüfung,Morgen habe ich einen Test.
未来,Zukunft,Ich denke über die Zukunft nach.
週末,Wochenende,Ich sehe am Wochenende einen Film.
料理,Kochen / Küche,Kochen ist mein Hobby.
無理,unmöglich / übertrieben,Das ist unmöglich.
無くす,verlieren,Ich habe meinen Schlüssel verloren.
無くなる,verschwinden / verloren gehen,Die Batterie ist leer.
作文,Aufsatz / Essay,Ich habe einen Aufsatz geschrieben.
用いる,benutzen / anwenden,Ich benutze eine neue Methode.
ゴルフ,Golf,Am Wochenende spiele ich Golf.
用事,Erledigung / Angelegenheit,Ich gehe wegen einer Angelegenheit aus.
交通費,Reisekosten / Fahrkosten,Ich habe die Reisekosten bezahlt.
消える,verschwinden / ausgehen,Das Licht ist ausgegangen.
消しゴム,Radiergummi,Ich habe einen Radiergummi benutzt.
ラジオ,Radio,Ich höre morgens Radio.
売れる,sich verkaufen / beliebt sein,Dieses Produkt verkauft sich gut.
売り場,Verkaufsstand / Abteilung,Wo ist die Buchabteilung?
店員,Verkäufer,Ich habe den Verkäufer gefragt.
売店,Kiosk / Verkaufsstand,Ich habe im Bahnhofskiosk eine Zeitschrift gekauft.
タクシー,Taxi,Ich habe ein Taxi gerufen.
商品,Produkt / Ware,Dieses Produkt ist teuer.
作品,Werk / Produkt,"Dieses Werk ist wunderbar."
販売,Verkauf,"Dieses Produkt ist im Verkauf."
二階,zweite Etage / erster Stock,"Bitte gehen Sie in den ersten Stock."
ゆっくり,langsam / gemütlich,"Bitte sprechen Sie langsam."
段階,Stufe / Phase,"Der Plan ist noch in der Anfangsphase."
段々,allmählich / nach und nach,"Es wird allmählich wärmer."
値段,Preis,"Bitte sagen Sie mir den Preis."
レストラン,Restaurant,"Ich habe im Restaurant gegessen."
価格,Preis / Wert,"Der Preis ist etwas hoch."
合格,Bestehen / Erfolg,"Ich habe die Prüfung bestanden."
夏休み,Sommerferien,"Ich fahre in den Sommerferien ans Meer."
冬休み,Winterferien,"Ich gehe im Winterurlaub Skifahren."
カード,Karte / Kreditkarte,"Ich benutze eine Kreditkarte."
四季,vier Jahreszeiten,"In Japan gibt es vier Jahreszeiten."
暑さ,Hitze / Wärme,"Ich bin an die Hitze gewöhnt."
熱,Fieber / Wärme,"Ich habe Fieber bekommen."
寒さ,Kälte,"Die Kälte ist streng."
アルバイト,Nebenjob,"Ich arbeite in einem Nebenjob."
暖める,erwärmen / aufwärmen,"Ich wärme die Suppe auf."
暖まる,warm werden / sich aufwärmen,"Das Zimmer ist warm geworden."
温度,Temperatur,"Bitte überprüfen Sie die Temperatur."
気温,Temperatur (Luft),"Die heutige Temperatur ist hoch."
コピー,Kopie,"Ich mache eine Kopie."
台,Pult / Plattform / Ständer,"Ein Taifun kommt."
風,Wind,"Der Wind ist stark."
台風,Taifun,"Ein Taifun nähert sich."
事情,Umstände / Situation,"Die Umstände haben sich geändert."
ぶつかる,zusammenstoßen / anstoßen,"Das Auto ist zusammengestoßen."
情報,Information / Nachricht,"Ich sammle Informationen."
報告,Bericht / Meldung,"Ich melde die Ergebnisse."
新聞,Zeitung,"Ich lese jeden Morgen die Zeitung."
新年,Neujahr,"Frohes neues Jahr!"
フィルム,Film,"Ich habe einen alten Film gefunden."
良い,gut / schön,"Das ist ein sehr gutes Buch."
中心,Zentrum / Mittelpunkt,"Im Zentrum der Stadt gibt es einen Park."
安心,Erleichterung / Sicherheit,"Bitte seien Sie beruhigt."
思い出す,sich erinnern,"Ich erinnere mich an die alten Zeiten."
デパート,Kaufhaus,"Ich habe im Kaufhaus eingekauft."
思い出,Erinnerung,"Ich spreche über Reiseerinnerungen."
考え,Gedanke / Idee,"Ich habe eine gute Idee."
解決,Lösung / Auflösung,"Ich habe das Problem gelöst."
知らせる,benachrichtigen / informieren,"Ich informiere meinen Freund."
ベッド,Bett,"Ich habe ein neues Bett gekauft."
能力,Fähigkeit / Kompetenz,"Er hat hohe Fähigkeiten."
可能,möglich / machbar,"Das ist möglich."
可,Erlaubnis / Möglichkeit,"Dieser Vorschlag wird angenommen."
郵便,Post / Brief,"Ich sende die Post ab."
コート,Mantel / Court,"Ich ziehe einen Mantel an."
不便,Unannehmlichkeit / unpraktisch,"Dieser Ort ist unpraktisch."
郵便屋さん,Briefträger,"Der Briefträger hat mir den Brief gebracht."
郵便局,Postamt,"Ich habe ein Paket bei der Post aufgegeben."
交番,Polizeistation,"Ich habe den Weg bei der Polizeiwache gefragt."
ノート,Notizbuch / Heft,"Ich schreibe ins Notizbuch."
番地,Hausnummer,"Das hier ist meine Hausnummer."
番号,Nummer,"Bitte sagen Sie mir Ihre Telefonnummer."
場所,Ort / Platz,"Ich suche nach einem guten Ort."
近所,Nachbarschaft,"Ich spreche mit den Nachbarn."
ワイン,Wein,"Ich trinke Wein."
台所,Küche,"Ich koche in der Küche."
住所,Adresse,"Bitte schreiben Sie Ihre Adresse."
有名,berühmt / bekannt,"Das ist ein berühmter Film."
名字,Familienname,"Sein Nachname ist Yamada."
氏名,Vollständiger Name,"Bitte tragen Sie Ihren Namen ein."
各国,jedes Land / verschiedene Länder,"Die Vertreter aller Länder haben sich versammelt."
町,Stadt / Stadtteil,"Ich mache einen Spaziergang durch die Stadt."
トイレ,Toilette,"Wo ist die Toilette?"
都市,Stadt / Metropole,"Das ist eine große Stadt."
都合,Bequemlichkeit / Umstände,"Bitte sagen Sie mir eine passende Zeit."
朝御飯,Frühstück,"Ich esse jeden Morgen Frühstück."
買い物,Einkaufen / Besorgung,"Ich gehe einkaufen."
キャンプ,Camping,"Ich gehe am Wochenende campen."
荷物,Gepäck / Paket,"Ich trage das Gepäck."
品物,Ware / Artikel,"Ich wähle die Ware aus."
見物,Besichtigung,"Ich besichtige die Sehenswürdigkeiten."
物,Sache / Ding,"Das ist eine wichtige Sache."
プラスチック,Plastik,"Ich benutze einen Plastikbehälter."
忘れ物,vergessene Sache,"Ich habe etwas im Zug vergessen."
重さ,Gewicht,"Ich wiege das Gepäck."
配る,verteilen / austeilen,"Ich verteile die Ausdrucke."
配達,Lieferung,"Ich liefere das Paket."
カラー,Farbe,"Ich habe ein neues farbiges Hemd gekauft."
心配,Sorge / Besorgnis,"Ich bin besorgt wegen der Prüfung."
見送る,verabschieden / begleiten,"Ich habe meinen Freund verabschiedet."
見送り,Abschied / Begleitung,"Jemand kam, um mich zu verabschieden."
受ける,annehmen / erhalten,"Ich nehme an der Prüfung teil."
ピアノ,Klavier,"Ich spiele Klavier."
受け取る,erhalten / empfangen,"Ich habe das Paket erhalten."
取れる,abgehen / abfallen,"Der Knopf ist abgefallen."
